Goods and Services Tax - GSTR-2A
Taxable inward supplies received from registered persons
GSTIN of supplier,Invoice number,Invoice type,Invoice Date,Invoice Value (%u20B9),Place of supply,Supply Attract Reverse Charge,Rate (%),Taxable Value,Integrated Tax,Central Tax,State/UT tax,Cess,GSTR-1/IFF/GSTR-5 Filing Status,GSTR-3B Filing Status,Amendment made if any,Tax Period in which Amended,Effective date of cancellation,Source,IRN,IRN Date
"36AMJPM4682P1Z7","262/2022-23","R"," 16-12-2022","584341.9","Telangana","N",""-,"495205","0","44568.45","44568.45","0","N","N","-","-","-","E-Invoice","71dfc2436f1e6c2e4cb67f91f1089f2e0b61112f500b8aa909896aac817efe40"," 16-12-2022",

"36AAMFH7852H1ZY","SR/ZN/22-23/803","R"," 01-12-2022","666126","Telangana","N","18","563950","0","50755.5","50755.5","0","N","N","-","-","-","E-Invoice","61df7914d771155d272a318f5545723e1d873a4a2b96df6e9f3819d1536d07a1"," 01-12-2022"
"36AAMFH7852H1ZY","SR/ZN/22-23/803","R"," 01-12-2022","666126","Telangana","N",""-,"563950","0","50755.5","50755.5","0","N","N","-","-","-","E-Invoice","61df7914d771155d272a318f5545723e1d873a4a2b96df6e9f3819d1536d07a1"," 01-12-2022",

"36AAMFH7852H1ZY","SR/ZN/22-23/841","R"," 14-12-2022","701715","Telangana","N","18","594080","0","53467.2","53467.2","0","N","N","-","-","-","E-Invoice","7bb68cfd1873b1aebc2f27bc91fecf93b3a70bd1924bc91acccc82fe61d569f4"," 14-12-2022"
"36AAMFH7852H1ZY","SR/ZN/22-23/841","R"," 14-12-2022","701715","Telangana","N",""-,"594080","0","53467.2","53467.2","0","N","N","-","-","-","E-Invoice","7bb68cfd1873b1aebc2f27bc91fecf93b3a70bd1924bc91acccc82fe61d569f4"," 14-12-2022",

"36AAMFH7852H1ZY","SR/ZN/22-23/897","R"," 29-12-2022","838024","Telangana","N","18","709480","0","63853.2","63853.2","0","N","N","-","-","-","E-Invoice","0321f68c1808cd08638e9cf31c8635eaaf38508245341c51a97a25cf3b30cbc1"," 29-12-2022"
"36AAMFH7852H1ZY","SR/ZN/22-23/897","R"," 29-12-2022","838024","Telangana","N",""-,"709480","0","63853.2","63853.2","0","N","N","-","-","-","E-Invoice","0321f68c1808cd08638e9cf31c8635eaaf38508245341c51a97a25cf3b30cbc1"," 29-12-2022",

